--------- beginning of main
04-06 04:30:38.240 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.243 15552 15552 D BLE     : Found: [TV] Samsung Q60 Series (55) (D0:03:DF:8E:81:83)
04-06 04:30:38.280 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.304 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.326 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:38.330 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.360 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.465 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:38.510 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.535 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.600 15552 15552 D BLE     : Found: Unknown (63:7A:C3:79:20:EC)
04-06 04:30:38.618 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.644 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.674 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.782 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:38.787 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.807 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
